correct num: 340282366920938463463374607431768211455, num of guesses: 134 
correct root: 1111111111111111111111111111111111111111111111111111111111111111, num: 1111111111111111111111111111111111111111111111111111111111111111 
guess: 1111111111111111111111111111111111111111111111111111111111111111 , error: 18446744073709551615 
guess: 100000000000000000000000000000000000000000000000000000000000000 , error: 4611686018427387903 
guess: 10000000000000000000000000000000000000000000000000000000000000 , error: 2305843009213693951 
guess: 1000000000000000000000000000000000000000000000000000000000000 , error: 1152921504606846975 
guess: 100000000000000000000000000000000000000000000000000000000000 , error: 576460752303423487 
guess: 10000000000000000000000000000000000000000000000000000000000 , error: 288230376151711743 
guess: 1000000000000000000000000000000000000000000000000000000000 , error: 144115188075855871 
guess: 100000000000000000000000000000000000000000000000000000000 , error: 72057594037927935 
guess: 10000000000000000000000000000000000000000000000000000000 , error: 36028797018963967 
guess: 1000000000000000000000000000000000000000000000000000000 , error: 18014398509481983 
guess: 100000000000000000000000000000000000000000000000000000 , error: 9007199254740991 
guess: 10000000000000000000000000000000000000000000000000000 , error: 4503599627370495 
guess: 1000000000000000000000000000000000000000000000000000 , error: 2251799813685247 
guess: 100000000000000000000000000000000000000000000000000 , error: 1125899906842623 
guess: 10000000000000000000000000000000000000000000000000 , error: 562949953421311 
guess: 1000000000000000000000000000000000000000000000000 , error: 281474976710655 
guess: 100000000000000000000000000000000000000000000000 , error: 140737488355327 
guess: 10000000000000000000000000000000000000000000000 , error: 70368744177663 
guess: 1000000000000000000000000000000000000000000000 , error: 35184372088831 
guess: 100000000000000000000000000000000000000000000 , error: 17592186044415 
guess: 10000000000000000000000000000000000000000000 , error: 8796093022207 
guess: 1000000000000000000000000000000000000000000 , error: 4398046511103 
guess: 100000000000000000000000000000000000000000 , error: 2199023255551 
guess: 10000000000000000000000000000000000000000 , error: 1099511627775 
guess: 1000000000000000000000000000000000000000 , error: 549755813887 
guess: 100000000000000000000000000000000000000 , error: 274877906943 
guess: 10000000000000000000000000000000000000 , error: 137438953471 
guess: 1000000000000000000000000000000000000 , error: 68719476735 
guess: 100000000000000000000000000000000000 , error: 34359738367 
guess: 10000000000000000000000000000000000 , error: 17179869183 
guess: 1000000000000000000000000000000000 , error: 8589934591 
guess: 100000000000000000000000000000000 , error: 4294967295 
guess: 10000000000000000000000000000000 , error: 2147483647 
guess: 1000000000000000000000000000000 , error: 1073741823 
guess: 100000000000000000000000000000 , error: 536870911 
guess: 10000000000000000000000000000 , error: 268435455 
guess: 1000000000000000000000000000 , error: 134217727 
guess: 100000000000000000000000000 , error: 67108863 
guess: 10000000000000000000000000 , error: 33554431 
guess: 1000000000000000000000000 , error: 16777215 
guess: 100000000000000000000000 , error: 8388607 
guess: 10000000000000000000000 , error: 4194303 
guess: 1000000000000000000000 , error: 2097151 
guess: 100000000000000000000 , error: 1048575 
guess: 10000000000000000000 , error: 524287 
guess: 1000000000000000000 , error: 262143 
guess: 100000000000000000 , error: 131071 
guess: 10000000000000000 , error: 65535 
guess: 1000000000000000 , error: 32767 
guess: 100000000000000 , error: 16383 
guess: 10000000000000 , error: 8191 
guess: 1000000000000 , error: 4095 
guess: 100000000000 , error: 2047 
guess: 10000000000 , error: 1023 
guess: 1000000000 , error: 511 
guess: 100000000 , error: 255 
guess: 10000000 , error: 127 
guess: 1000000 , error: 63 
guess: 100000 , error: 31 
guess: 10000 , error: 15 
guess: 1000 , error: 7 
guess: 100 , error: 3 
guess: 10 , error: 1 
guess: 1 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
guess: 0 , error: 0 
